"Header1","Header2","Header3"
"assistant section officer","tada claims","1"
"assistant section officer","take care of academic requirements of my son","1"
"assistant section officer","take care of nutritional requirements of my son","1"
"assistant section officer","take care of physical activities and extra-curricular activities of my son","1"
"assistant section officer","the job of my role is to redress the grievance of common citizen in effective and time bound manner. the only role i have been assigned is to redress the grievances at par with the satisfaction of complainant.","1"
"assistant section officer","timely approval and submission of the answers","1"
"assistant section officer","training","1"
"assistant section officer","transfer and posting","1"
"assistant section officer","transfer irfc funds to zonal railways ","1"
"assistant section officer","use of pfms","1"
"assistant section officer","user requirement analysis and onboarding","1"
"assistant section officer","vetting of court cases affidavit","1"
"assistant section officer","vigilance inquiry","1"
"assistant section officer","vip references related to applicants of rashtriya arogya nidhi are forwarded to me.","1"
"assistant section officer","voluntary retirements and compulsory retirement under rule 56j","1"
"assistant section officer","website development","1"
"assistant section officer","website maintainance","1"
"deputy director","investigation","3"
"deputy director","administration","2"
"deputy director","intelligence gathering","2"
"deputy director","performance audit","2"
"deputy director","recruitment","2"
"deputy director","research","2"
"deputy director"," activities related human resource development","1"
"deputy director"," activities related to finance and accounts","1"
"deputy director"," activities related to general administration","1"
"deputy director"," activities related to training and development","1"
"deputy director"," cadre restructuring","1"
"deputy director"," central public information officer","1"
"deputy director"," compliance audit","1"
"deputy director"," coordinate with different agencies and stakeholders ","1"
"deputy director"," coordination of trainings with various stakeholders including trade & field formations","1"
"deputy director"," customs inspection","1"
"deputy director"," data analysis","1"
"deputy director"," investigate cases related to economic fraud","1"
"deputy director"," launching prosecution. ","1"
"deputy director"," management","1"
"deputy director"," monitor the prices of raw materials of jute ","1"
"deputy director"," national risk assessment of money laundering terrorist financing ","1"
"deputy director"," part of indian delegation in fatf eag apg","1"
"deputy director"," part time chief vigilance officer","1"
"deputy director"," policy formaulation","1"
"deputy director"," preparation of material for igot upload","1"
"deputy director"," project implementation ","1"
